epoch	categorical_accuracy	loss	lr	mean_iou	precision_1	recall_1	val_categorical_accuracy	val_loss	val_mean_iou	val_precision_1	val_recall_1
34	0.8013247	0.03212657903094549	3.3000003e-08	0.5408395	0.77789474	0.9678369	0.9888637661933899	0.02674063667654991	0.896195113658905	0.9888637661933899	0.9888637661933899
35	0.79944474	0.03237663415839543	3.3000003e-08	0.5385459	0.7752171	0.96759015	0.9887597560882568	0.029952311888337135	0.8966686129570007	0.9887597560882568	0.9887597560882568
36	0.8087625	0.03273726284906671	3.3000003e-08	0.553198	0.78801423	0.96750396	0.9887653589248657	0.03171398490667343	0.8950054049491882	0.9887653589248657	0.9887653589248657
37	0.804047	0.03266549044968309	3.3000003e-08	0.5436693	0.7823102	0.96743876	0.989007830619812	0.028578102588653564	0.8972628712654114	0.989007830619812	0.989007830619812
38	0.79846555	0.03173923175278548	3.3000003e-08	0.53732246	0.7738991	0.9679774	0.9888162016868591	0.026646777987480164	0.8962693214416504	0.9888162016868591	0.9888162016868591
39	0.8091145	0.032955912772465394	3.3000003e-10	0.5568515	0.78808427	0.9673721	0.9888927936553955	0.030579764395952225	0.8958125114440918	0.9888927936553955	0.9888927936553955
40	0.80292195	0.03226427804376628	3.3000003e-10	0.54176444	0.780061	0.9677759	0.9888486862182617	0.029750030487775803	0.8954648971557617	0.9888486862182617	0.9888486862182617
41	0.8021736	0.03216019418795366	3.3000003e-10	0.54426366	0.7790798	0.96756107	0.9887710809707642	0.03705597668886185	0.8960869312286377	0.9887710809707642	0.9887710809707642
42	0.8074844	0.03201252634863596	3.3000003e-10	0.5512312	0.78603303	0.9681171	0.9890268445014954	0.031185289844870567	0.8968372941017151	0.9890268445014954	0.9890268445014954
43	0.80278116	0.03236649507606352	3.3000003e-10	0.54360193	0.77930564	0.9677164	0.9888244867324829	0.02633952721953392	0.8968053460121155	0.9888244867324829	0.9888244867324829
44	0.80180085	0.03218472039176	3.3000002e-12	0.53731936	0.7787788	0.96785676	0.9888817667961121	0.027556229382753372	0.8970975279808044	0.9888817667961121	0.9888817071914673
